Country Name,Country Code,Series Name,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Monaco,MCO,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Mongolia,MNG,"Children out of school, primary",SE.PRM.UNER,12182,12416,10379,13035,10128,13413,17711,20249,20338,..
Montenegro,MNE,"Children out of school, primary",SE.PRM.UNER,..,449,1427,1036,1152,300,326,517,39,..
Morocco,MAR,"Children out of school, primary",SE.PRM.UNER,250751,..,245211,197757,128471,74612,13583,13854,21600,..
Mozambique,MOZ,"Children out of school, primary",SE.PRM.UNER,242734,182016,264388,363333,178872,75413,50903,..,65327,..
Myanmar,MMR,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Namibia,NAM,"Children out of school, primary",SE.PRM.UNER,..,1542.33801269531,..,..,..,..,..,..,..,..
Nauru,NRU,"Children out of school, primary",SE.PRM.UNER,132,..,143,..,..,68,440,..,219,..
Nepal,NPL,"Children out of school, primary",SE.PRM.UNER,52575,48462,34135,58844,..,..,..,39278.19921875,29764.8359375,105716.234375
Netherlands,NLD,"Children out of school, primary",SE.PRM.UNER,..,..,..,2274,2928,1416,1937,2114,..,..
New Caledonia,NCL,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
New Zealand,NZL,"Children out of school, primary",SE.PRM.UNER,3379,4386,4575,4918,5066,3851,5130,5306,..,..
Nicaragua,NIC,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Niger,NER,"Children out of school, primary",SE.PRM.UNER,1158997,1144529,1146191,1078179,1577957,1453769,..,1607171,1667236,1841848
Nigeria,NGA,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
North Macedonia,MKD,"Children out of school, primary",SE.PRM.UNER,8844,4022,..,4648,5337,9845,9462,9980,10526,..
Northern Mariana Islands,MNP,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,..,..,..
Norway,NOR,"Children out of school, primary",SE.PRM.UNER,1788,2390,3052,2918,3394,3769,4662,4216,..,..
Oman,OMN,"Children out of school, primary",SE.PRM.UNER,6119,12091,15015,9993,3745,7969,34075,37938,40605,..
Pakistan,PAK,"Children out of school, primary",SE.PRM.UNER,..,..,..,..,..,..,..,7684793,..,..
Palau,PLW,"Children out of school, primary",SE.PRM.UNER,82,..,..,..,..,..,42,31,..,..
Panama,PAN,"Children out of school, primary",SE.PRM.UNER,37497,44668,..,57668,..,51939,49945,19756,..,..
Papua New Guinea,PNG,"Children out of school, primary",SE.PRM.UNER,..,..,141127,..,16623,..,..,..,..,..
Paraguay,PRY,"Children out of school, primary",SE.PRM.UNER,..,..,92549,..,..,..,92752,92806,91610,..
